;full_name;cas_no;ec_no;inchikey;canonical_smiles;dashboard_dtxsid;pubchem_cid;promisces_id;norman_susdat_id;uba_list;dtu_list_dk;UBA_cat;quality_UBA_cat;EC_cat;pfas_cs1_dwtp_route_a;pfas_cs1_urban_route_a;pfas_cs2_route_a;pfas_cs3_route_b;pfas_cs4_sofia_route_c;pfas_cs4_univpm_route_c;pfas_cs5_route_d;pfas_cs6_route_e;pfas_cs7_route_e;pfas_wwtp_network_wp3;ipmt_cs1_dwtp_route_a;ipmt_cs1_urban_route_a;ipmt_cs2_route_a;ipmt_cs3_route_b;ipmt_cs4_sofia_route_c;ipmt_cs4_univpm_route_c;ipmt_cs5_route_d;ipmt_cs7_route_e;promisces_CS;pro_workers_widespread;registered_consumer_use;article_serv_life_echa;uses;industry_uses;consumer_use;process_cat_1;process_cat_2;process_cat_3;process_cat_10;process_cat_11;process_cat_13;process_cat_15;process_cat_17;process_cat_18;process_cat_19;erc_2;erc_5;erc_8a;erc_8b;erc_8c;erc_8d;erc_8e;erc_8f;erc_9a;erc_9b;erc_10a;erc_10b;erc_11a;erc_11b;erc_12b;pNEC_type;average_mass;logKow_exp;logKow_pred;logKoa_exp;logKoa_pred;solubility_exp;solubility_pred;log_Koc_pred_dashboard;log_Koc_pred_episuite;bhl_pred;hl_pred_freshwater;bcf_pred;P_hl_exp_freshwater;P_hl_exp_soil;P_hl_exp_sediments;M_logKoc_UBA;M_Dow_min_UBA;pNEC_freshwater;T_score_predicted_rivm;kemi_score;E_score_min;E_score_max;tonnage_band;min_tonnage;max_tonnage;PC0;PC1;PC2;PC3;PC4;PC7;PC8;PC9a;PC9b;PC9c;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18;PC19;PC20;PC21;PC23;PC24;PC25;PC26;PC27;PC28;PC29;PC30;PC31;PC32;PC33;PC34;PC35;PC36;PC37;PC38;PC39;PC40;PC41;PC42;SU0;SU1;SU2a;SU2b;SU4;SU5;SU6a;SU6b;SU7;SU8;SU9;SU10;SU11;SU12;SU13;SU14;SU15;SU16;SU17;SU18;SU19;SU20;SU23;SU24;P_score_freshwater_pred_UBA;P_score_freshwater_pred_RIVM;P_score_freshwater_pred_Dashboard;P_score_soil_exp_UBA;P_score_sediment_exp_UBA;M_score_exp_UBA;M_score_pred_Episuite;M_score_pred_Dashboard;T_score_clp_harmonised;T_score_carcinogenicity_atp18;T_score_mutagenicity_atp18;T_score_reprotoxicity_atp18;T_score_ed_lists_(jan2023);pnoec_fish;reliability_pnoec_fish;adi_pnoec_fish;pnoec_daphnia;reliability_pnoec_daphnia;adi_pnoec_daphnia;pnoec_algae;reliability_pnoec_algae;adi_pnoec_algae;pNEC_score;pNOEC_daphnia_score;pNOEC_fish_score;pNOEC_algae_score;T_score_ecotox;P_robust_score;P_robust_value;P_conservative_score;P_conservative_value;P_average_value;M_robust_score;M_robust_value;M_conservative_score;M_conservative_value;M_average_value;E_robust_score;E_robust_value;PM_conservative_score;robustness;PM_robust_score;PM_robust_robustness;PM_average_score;PM_average_robustness;T_score_score;T_score_robustness;PMT_conservative_score;PMT_conservative_robustness;PMT_robust_score;PMT_robust_robustness;PMT_average_score;PMT_average_robustness;cluster labels;conservative_classification;robust_classification;average_classification;priority_group;functional_groups;chemical_class
0;(1S,4R,4aS,9aR)-4,4a,9,9a-tetrahydro-1H-1,4-methanofluorene;;700-736-9;XUFPYLQWLKKGDQ-ZMJPVWNMSA-N;c1(NP(=O)(N)N)c(N(=O)=O)cccc1;;;PRO-001;;REACH-A;False;PMT;HQ;Potential PMT/vPvM;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;;;;;;;;;;;;;;;3.3;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;True;0.0;0.0;0.0;0;570.3;low ;0.329;3230.0;low ;0.323;6770.0;low ;0.282;;0.029051522266223;0.0597428787450575;0.0212360837171849;0.0346703870991105;;;;;;;;;;;;;;;;;;;0.0346703870991105;0.5;0.0346703870991105;0.25;0.0346703870991105;0.25;0.0346703870991105;0.25;;;;;;Nh0, Nh1, Nh2, Aniline, Benzene, Nitro, Nitro Arom, Para Hydroxylation;['Aromatic amines', 'Nitrobenzene derivatives']
1;(1S,4R,6R)-1-[(3E)-5-hydroxy-3-methylpent-3-en-1-yn-1-yl]-2,2,6-trimethylcyclohexane-1,4-diol;70905-68-9;700-054-1;AJDYPKBZJGFSDZ-VXLSFFSTSA-N;CC1(C)C[C@H](O)C[C@@H](C)[C@@]1(O)C#C/C(=C/CO)/C;DTXSID301114439;14631277.0;PRO-002;NS00001720;REACH-B;False;vPvM & PMT;MQ;vPvM & PMT;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;P-PNEC;252.354;;2.43;;8.33;;0.00794;2.198657087;;79.0436316995644;;1.48;35.0;;;;0.5;35.50931886;;0.22;0.0;0.0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.284668524889841;;0.615676278997465;;;;;0.465629640665651;False;0.0;0.0;0.0;0;139.6;low ;0.376;4050.0;low ;0.507;1050.0;low ;0.616;0.175036828880735;0.0264046657163222;0.104810129551376;0.0464777392452345;0.220627584405137;;;P_score_freshwater_pred_Dashboard;0.615676278997465;0.450172401943653;;;M_score_pred_Dashboard;0.465629640665651;0.465629640665651;kemi_score;0.22;0.535422379580789;1.0;;;0.457835793439762;1.0;0.220627584405137;0.5;0.398429007817711;0.75;0.220627584405137;0.25;0.358943779810331;0.75;0.0;PM;;PM;4;Al Oh, Al Oh Notert, Allylic Oxid;['Alkylphenols', 'Terpenoid']
2;(2-allyloxy-1,1-dimethyl-2-oxo-ethyl) 2-chloro-5-[3,6-dihydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)-1(2H)-pyrimidin-1-yl]benzoate;134605-64-4;603-837-5;JEDYYFXHPAIBGR-UHFFFAOYSA-N;CC(C)(C(=O)OCC=C)OC(=O)C1=C(C=CC(=C1)N2C(=O)C=C(N(C2=O)C)C(F)(F)F)Cl;DTXSID9034365;11826859.0;PRO-003;NS00006629;REACH-A;True;vPvM & PMT;HQ;vPvM & PMT;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;P-PNEC pred;474.82;;3.57;;11.7;2.09e-05;7.45e-06;2.11058971;;169.017118044887;;5.62;65.0;266.0;;1.5;;0.21696;;0.42;0.0;0.0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.534155202628529;;0.854515447152619;0.660972635049374;;0.585786437626905;;0.480845641880115;False;0.0;0.0;0.0;0;32.2;low ;0.194;92.2;low ;0.0;608.199999999999;low ;0.0;0.660073175355613;0.122955964769476;0.181256770260564;0.0581923906612996;0.698076556786662;P_score_soil_exp_UBA;0.660972635049374;P_score_freshwater_pred_Dashboard;0.854515447152619;0.683214428276841;M_score_exp_UBA;0.585786437626905;M_score_exp_UBA;0.585786437626905;0.53331603975351;kemi_score;0.42;0.707505165836048;1.0;0.622244972060394;1.0;0.603630030060685;1.0;0.698076556786662;0.5;0.704348230649356;0.75;0.646559675617628;0.75;0.633599621942152;0.75;0.0;vPvM(T);PM(T);PM(T);3;Ar N, C O, C O Nocoo, Nh0, Alkyl Halide, Benzene, Ester, Ether, Halogen;['Aromatic amines', 'Chlorobenzenes', 'Ethylene Glycols', 'PBB', 'PBDE', 'PCB', 'PhenylEthers', 'Phtalates', 'Pyrethrins', 'Styrenes', 'Triazines', 'PFAS']
3;(2?,3?,5?,16?,17?)-17-Acetoxy-3-hydroxy-2-(4-morpholinyl)-16-(1-pyrrolidinyl)androstane;119302-24-8;601-596-0;YBZSVMDKHBRYNB-UHFFFAOYSA-N;CC(=O)OC1C(CC2C3CCC4CC(O)C(CC4(C)C3CCC12C)N1CCOCC1)N1CCCC1;DTXSID601035727;16064933.0;PRO-004;NS00001345;REACH-B;False;vPvM;HQ;vPvM;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;P-PNEC pred;488.713;;4.04;;10.2;;1.78e-06;4.309630167;;6.761793810485e+73;;24.5;637.0;;;;-3.8;0.59833;;0.35;0.02;0.06;>1 to < 10 tonnes;1.0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.982682905794371;;1.0;;;;;0.167853960032222;False;0.0;0.0;0.0;0;209.1;low ;0.0;3090.0;low ;0.645;134.7;low ;0.0;0.555534733227328;0.0295992967587337;0.0894512192757153;0.106275042895269;0.585544202242285;;;P_score_freshwater_pred_Dashboard;1.0;0.991341452897185;;;M_score_pred_Dashboard;0.167853960032222;0.167853960032222;kemi_score;0.35;0.40969984138662;1.0;;;0.407922282564815;1.0;0.585544202242285;0.5;0.461491555863704;0.75;0.585544202242285;0.25;0.460155744225833;0.75;1.0;PM;;PM;4;Al Oh, Al Oh Notert, C O, C O Nocoo, Nh0, Ndealkylation2, Bicyclic, Ester, Ether, Morpholine;['Alkylphenols', 'Cyclohexanes', 'Ethylene Glycols']
4;(5-hydroxy-1,3-dimethyl-1H-pyrazol-4-yl)[2-(methylsulfonyl)-4-(trifluoromethyl)phenyl]methanone;365400-11-9;609-256-3;DWSPRBSLSXQIEJ-UHFFFAOYSA-N;CC1=C(C(=O)N(N1)C)C(=O)C2=C(C=C(C=C2)C(F)(F)F)S(=O)(=O)C;DTXSID2044343;11693711.0;PRO-005;;REACH-A;False;vPvM;HQ;vPvM;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;P-PNEC;364.34;;1.33;;9.0;;0.0018;2.810232518;;34.813317487602;;1.74;327.0;120.0;578.0;1.3;;0.466114172;;;0.13;0.25;>10 to < 100 tonnes;10.0;100.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.94778085049627;;0.282810472375868;0.333333333333333;0.88020205578614;0.618975738670119;;0.363174929539701;False;0.0;0.0;0.0;0;189.799999999999;low ;0.196;1850.0;low ;0.203;1160.0;low ;0.0;0.582126176326698;0.0367147240981055;0.092936481989908;0.0445973689697885;0.604741381312423;P_score_sediment_exp_UBA;0.88020205578614;P_score_freshwater_pred_UBA;0.94778085049627;0.611031677997903;M_score_exp_UBA;0.618975738670119;M_score_exp_UBA;0.618975738670119;0.49107533410491;E_score_max;0.25;0.765932994480145;1.0;0.738121749888989;1.0;0.547779686937645;1.0;0.604741381312423;0.5;0.707919292445765;0.75;0.690677376937884;0.75;0.56614435087158;0.75;0.0;vPvM(T);vPvM(T);PM(T);;Ar N, Ar Nh, C O, C O Nocoo, Nh0, Nh1, Nhpyrrole, Alkyl Halide, Aryl Methyl, Benzene, Halogen, Ketone, Sulfone;['Aromatic amines', 'Chlorobenzenes', 'Benzophenones', 'PAHs', 'PBB', 'PCB', 'PFAS']
5;[(2R)-2-(2,4-dichlorophenyl)-2-[(1H-1,2,4-triazol-1-yl)methyl]-1,3-dioxolan-4-yl]methyl methanesulfonate hydrochloride;155661-07-7;445-550-6;VOEZOGZQSVLIRN-HYHLQHTJNA-N;CS(=O)(=O)OCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl.Cl;DTXSID801020958;133082483.0;PRO-006;NS00078588;REACH-A;False;vPvM;HQ;PM;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;P-PNEC;444.71;;0.41;;10.8;;8.13e-05;1.800029359;;4105.16000827419;;5.5;1028.0;;;2.5;;6.413071061;;;0.0;0.0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.992284402457516;;0.999271508384264;;;0.414213562373095;;0.534596898215277;False;0.0;0.0;0.0;0;125.1;low ;0.196;488.599999999999;low ;0.277;701.0;low ;0.234;0.308516054328522;0.0636283423293301;0.109363682111657;0.0549030808389978;0.35720480494679;;;P_score_freshwater_pred_Dashboard;0.999271508384264;0.99577795542089;M_score_exp_UBA;0.414213562373095;M_score_pred_Dashboard;0.534596898215277;0.474405230294186;E_score_min;0.0;0.730894964312334;1.0;0.414213562373095;0.5;0.687315262643949;1.0;0.35720480494679;0.5;0.575717031199275;0.75;0.384654487499881;0.5;0.552598569181134;0.75;0.0;vPvM;PM;PM;;Ar N, Nh0, Benzene, Ether, Halogen;['Aromatic amines', 'Chlorobenzenes', 'Ethylene Glycols', 'PBB', 'PBDE', 'PCB', 'PhenylEthers']
6;[(3aS,4S,6S)-6-methoxy-2,2-dimethyl-tetrahydro-2H-furo[3,4-d][1,3]dioxol-4-yl]methyl 4-methylbenzene-1-sulfonate;4137-56-8;609-920-2;IAPMZKRZMYQZSW-UHFFFAOYSA-N;CC1(C)OC2[C@@H](O1)[C@@H](O[C@@H]2OC)COS(=O)(=O)c1ccc(C)cc1;DTXSID50284838;236623.0;PRO-007;NS00003867;REACH-B;False;vPvM;HQ;vPvM;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;P-PNEC pred;358.41;;2.38;;9.4;;0.00098;1.889861721;;107.7700725714;;1.55;1488.0;;;;1.4;10.47795;;0.27;0.0;0.0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.995884920189042;;0.731291418168485;;;;;0.519076245423817;False;0.0;0.0;0.0;0;333.4;low ;0.202;1510.0;low ;0.245;2590.0;low ;0.245;0.264973579911653;0.0399645673577169;0.0742638067620682;0.0318823898149451;0.298552449959031;;;P_score_freshwater_pred_UBA;0.995884920189042;0.863588169178763;;;M_score_pred_Dashboard;0.519076245423817;0.519076245423817;kemi_score;0.27;0.71898553896857;1.0;;;0.669528270090024;1.0;0.298552449959031;0.5;0.536397794429175;0.75;0.298552449959031;0.25;0.511508465873991;0.75;0.0;vPvM;;PM;4;Aryl Methyl, Benzene, Bicyclic, Ether, Methoxy;['Cyclohexanes', 'Ethylene Glycols', 'PAHs', 'PBDE', 'PhenylEthers']
7;[(3S,4R,4aR,6S,6aS,12R,12aS,12bS)-3-(cyclopropanecarbonyloxy)-6,12-dihydroxy-4,6a,12btrimethyl-11-oxo-9-(pyridin-3-yl)-1,2,3,4,4a,5,6,6a,12a,12b-decahydro-11H,12Hbenzo[f]pyrano[4,3-b]chromen-4-yl]methylcyclopropanecarboxylate;915972-17-7;815-966-6;;CC12CCC(C(C1CC(C3(C2C(C4=C(O3)C=C(OC4=O)C5=CN=CC=C5)O)C)O)(C)COC(=O)C6CC6)OC(=O)C7CC7;DTXSID00896889;54589430.0;PRO-008;;REACH-A;False;vPvM;HQ;PM;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;593.673;;2.49;;9.73;;6.62e-05;4.92992956;;1.88618080849065e+64;;5.01;11.0;66.0;371.0;2.7;;;;;0.0;0.08;>0 to < 10 tonnes;0.0;10.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0521486587213145;;1.0;0.152496117489493;0.774936037803488;0.38102426132988;;0.1159994316796;False;0.0;0.0;0.0;0;343.4;low ;0.0;4640.0;low ;0.0;638.8;low ;0.0;;0.0249280404506291;0.0733862454353041;0.0570349539846579;0.0;P_score_sediment_exp_UBA;0.774936037803488;P_score_freshwater_pred_Dashboard;1.0;0.494895203503574;M_score_exp_UBA;0.38102426132988;M_score_exp_UBA;0.38102426132988;0.24851184650474;E_score_max;0.08;0.617271626862826;1.0;0.54338699964388;1.0;0.350695481648983;1.0;0.0;0.5;0.0;0.75;0.0;0.75;0.0;0.75;1.0;PM;PM;PM;;Al Oh, Al Oh Notert, Ar N, C O, C O Nocoo, Nh0, Bicyclic, Ester, Ether, Pyridine;['Alkylphenols', 'Aromatic amines', 'Cyclohexanes', 'Ethylene Glycols', 'Pyridin']
8;[[(phosphonomethyl)imino]bis[ethane-2,1-diylnitrilobis(methylene)]]tetrakisphosphonic acid;15827-60-8;239-931-4;DUYCTCQXNHFCSJ-UHFFFAOYSA-N;C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O;DTXSID0027775;85128.0;PRO-009;NS00004368;REACH-A;True;vPvM;HQ;vPvM;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;chelating;"Anti-scaling agent; Cleaning agent; Corrosion inhibitor; Corrosion inhibitors and anti-scaling agents; Intermediate; Processing aids, specific to petroleum production";"Corrosion inhibitors and anti-scaling agents; Other (specify)";True;True;True;True;True;True;True;False;False;True;True;True;True;True;True;True;False;True;False;False;False;False;True;False;False;P-PNEC pred;573.198;;-6.95;;9.6;;1.06;1.770115295;;58.5569625918923;;3.09;4685.0;;;;-16.3;0.25976;;0.73;0.26;0.39;>100 to < 1000 tonnes;100.0;1000.0;1;0;0;1;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;1;1;1;0;1;0;0.999418703627588;;0.489597175430576;;;;;0.539751909316023;False;0.0;0.0;0.0;0;335.3;low ;0.0;1420.0;low ;0.0;1720.0;low ;0.0;0.642315367047779;0.0410012056867674;0.0740943160473937;0.0378503982943391;0.642315367047779;;;P_score_freshwater_pred_UBA;0.999418703627588;0.744507939529082;;;M_score_pred_Dashboard;0.539751909316023;0.539751909316023;kemi_score;0.73;0.734464535215374;1.0;;;0.633916068467869;1.0;0.642315367047779;0.5;0.702365747698544;0.75;0.642315367047779;0.25;0.636703559385236;0.75;2.0;vPvM(T);(T);PM(T);1;Nh0;['Organophosphates']
9;[2,2-dimethyl-3-(morpholin-4-yl)propylidene][6-({2-methyl-2-[(morpholin-4-yl)methyl]propylidene}amino)hexyl]amine;1217271-49-2;700-570-7;BVUYTWFHWBDUQZ-UHFFFAOYSA-N;CC(C)(CN1CCOCC1)C=NCCCCCCN=CC(C)(C)CN1CCOCC1;DTXSID801045043;89999256.0;PRO-010;NS00010203;REACH-B;False;vPvM;HQ;PM;False;False;;;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;;;;True;True;True;True;True;True;True;False;False;False;True;True;False;False;True;False;False;True;False;False;False;False;True;False;False;P-PNEC;422.658;;4.6;;11.5;;0.00191;2.749736316;;4105.16000827419;;42.7;2379.0;;;;-0.3;0.226344292;;0.32;0.01;0.01;Tonnage data confidential;;;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0.998150810659306;;0.999271508384264;;;;;0.372927621499333;False;0.0;0.0;0.0;0;177.3;low ;0.268;9560.0;low ;0.242;522.7;low ;0.0;0.655934852742684;0.0183346475111119;0.0954609049250424;0.0619048705689928;0.655934852742684;;;P_score_freshwater_pred_Dashboard;0.999271508384264;0.998711159521785;;;M_score_pred_Dashboard;0.372927621499333;0.372927621499333;kemi_score;0.32;0.61045552405871;1.0;;;0.610284341340412;1.0;0.655934852742684;0.5;0.625253677181179;0.75;0.655934852742684;0.25;0.625136783459683;0.75;1.0;PM(T);(T);PM(T);4;Imine, Nh0, Ether, Morpholine, Unbrch Alkane;['Ethylene Glycols']
