full_name;cas_no;ec_no;inchikey;canonical_smiles;dashboard_dtxsid;pubchem_cid;promisces_id;norman_susdat_id;uba_list;dtu_list_dk;UBA_cat;quality_UBA_cat;EC_cat;pfas_cs1_dwtp_route_a;pfas_cs1_urban_route_a;pfas_cs2_route_a;pfas_cs3_route_b;pfas_cs4_sofia_route_c;pfas_cs4_univpm_route_c;pfas_cs5_route_d;pfas_cs6_route_e;pfas_cs7_route_e;pfas_wwtp_network_wp3;ipmt_cs1_dwtp_route_a;ipmt_cs1_urban_route_a;ipmt_cs2_route_a;ipmt_cs3_route_b;ipmt_cs4_sofia_route_c;ipmt_cs4_univpm_route_c;ipmt_cs5_route_d;ipmt_cs7_route_e;promisces_CS;pro_workers_widespread;registered_consumer_use;article_serv_life_echa;uses;industry_uses;consumer_use;process_cat_1;process_cat_2;process_cat_3;process_cat_10;process_cat_11;process_cat_13;process_cat_15;process_cat_17;process_cat_18;process_cat_19;erc_2;erc_5;erc_8a;erc_8b;erc_8c;erc_8d;erc_8e;erc_8f;erc_9a;erc_9b;erc_10a;erc_10b;erc_11a;erc_11b;erc_12b;pNEC_type;average_mass;logKow_exp;logKow_pred;logKoa_exp;logKoa_pred;solubility_exp;solubility_pred;log_Koc_pred_dashboard;log_Koc_pred_episuite;bhl_pred;hl_pred_freshwater;bcf_pred;P_hl_exp_freshwater;P_hl_exp_soil;P_hl_exp_sediments;M_logKoc_UBA;M_Dow_min_UBA;pNEC_freshwater;T_score_predicted_rivm;kemi_score;E_score_min;E_score_max;tonnage_band;min_tonnage;max_tonnage;PC0;PC1;PC2;PC3;PC4;PC7;PC8;PC9a;PC9b;PC9c;PC11;PC12;PC13;PC14;PC15;PC16;PC17;PC18;PC19;PC20;PC21;PC23;PC24;PC25;PC26;PC27;PC28;PC29;PC30;PC31;PC32;PC33;PC34;PC35;PC36;PC37;PC38;PC39;PC40;PC41;PC42;SU0;SU1;SU2a;SU2b;SU4;SU5;SU6a;SU6b;SU7;SU8;SU9;SU10;SU11;SU12;SU13;SU14;SU15;SU16;SU17;SU18;SU19;SU20;SU23;SU24;P_score_freshwater_pred_UBA;P_score_freshwater_pred_RIVM;P_score_freshwater_pred_Dashboard;P_score_soil_exp_UBA;P_score_sediment_exp_UBA;M_score_exp_UBA;M_score_pred_Episuite;M_score_pred_Dashboard;T_score_clp_harmonised;T_score_carcinogenicity_atp18;T_score_mutagenicity_atp18;T_score_reprotoxicity_atp18;T_score_ed_lists_(jan2023);pnoec_fish;reliability_pnoec_fish;adi_pnoec_fish;pnoec_daphnia;reliability_pnoec_daphnia;adi_pnoec_daphnia;pnoec_algae;reliability_pnoec_algae;adi_pnoec_algae;pNEC_score;pNOEC_daphnia_score;pNOEC_fish_score;pNOEC_algae_score;T_score_ecotox;P_robust_score;P_robust_value;P_conservative_score;P_conservative_value;P_average_value;M_robust_score;M_robust_value;M_conservative_score;M_conservative_value;M_average_value;E_robust_score;E_robust_value;PM_conservative_score;robustness;PM_robust_score;PM_robust_robustness;PM_average_score;PM_average_robustness;T_score_score;T_score_robustness;PMT_conservative_score;PMT_conservative_robustness;PMT_robust_score;PMT_robust_robustness;PMT_average_score;PMT_average_robustness;cluster labels;conservative_classification;robust_classification;average_classification;priority_group;functional_groups;chemical_class
(1S,4R,4aS,9aR)-4,4a,9,9a-tetrahydro-1H-1,4-methanofluorene;;700-736-9;XUFPYLQWLKKGDQ-ZMJPVWNMSA-N;c1(NP(=O)(N)N)c(N(=O)=O)cccc1;;;PRO-001;;REACH-A;FALS;PMT;HQ;Potential PMT/vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;;;;;;;;;;;;;;;33;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;CERT;0;0;0;0;5703;low ;329;32300;low ;323;67700;low ;282;;2,90515E+13;5,97429E+14;2,12361E+14;3,46704E+14;;;;;;;;;;;;;;;;;;;3,46704E+14;5;3,46704E+14;25;3,46704E+14;25;3,46704E+14;25;;;;;;Nh0, Nh1, Nh2, Aniline, Benzene, Nitro, Nitro Arom, Para Hydroxylation;['Aromatic amines', 'Nitrobenzene derivatives']
(1S,4R,6R)-1-[(3E)-5-hydroxy-3-methylpent-3-en-1-yn-1-yl]-2,2,6-trimethylcyclohexane-1,4-diol;70905-68-9;700-054-1;AJDYPKBZJGFSDZ-VXLSFFSTSA-N;CC1(C)C[C@H](O)C[C@@H](C)[C@@]1(O)C#C/C(=C/CO)/C;DTXSID301114439;146312770;PRO-002;NS00001720;REACH-B;FALS;vPvM & PMT;MQ;vPvM & PMT;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC;252354;;243;;833;;794;2198657087;;7,90436E+14;;148;350;;;;5;3550931886;;22;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,84669E+14;;6,15676E+14;;;;;4,6563E+14;FALS;0;0;0;0;1396;low ;376;40500;low ;507;10500;low ;616;1,75037E+14;2,64047E+14;1,0481E+14;4,64777E+14;2,20628E+14;;;P_score_freshwater_pred_Dashboard;6,15676E+14;4,50172E+14;;;M_score_pred_Dashboard;4,6563E+14;4,6563E+14;kemi_score;22;5,35422E+14;10;;;4,57836E+14;10;2,20628E+14;5;3,98429E+14;75;2,20628E+14;25;3,58944E+14;75;0;PM;;PM;4;Al Oh, Al Oh Notert, Allylic Oxid;['Alkylphenols', 'Terpenoid']
(2-allyloxy-1,1-dimethyl-2-oxo-ethyl) 2-chloro-5-[3,6-dihydro-3-methyl-2,6-dioxo-4-(trifluoromethyl)-1(2H)-pyrimidin-1-yl]benzoate;134605-64-4;603-837-5;JEDYYFXHPAIBGR-UHFFFAOYSA-N;CC(C)(C(=O)OCC=C)OC(=O)C1=C(C=CC(=C1)N2C(=O)C=C(N(C2=O)C)C(F)(F)F)Cl;DTXSID9034365;118268590;PRO-003;NS00006629;REACH-A;CERT;vPvM & PMT;HQ;vPvM & PMT;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC pred;47482;;357;;117;0,00209;0,000745;211058971;;1,69017E+14;;562;650;2660;;15;;21696;;42;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,34155E+14;;8,54515E+14;6,60973E+14;;5,85786E+14;;4,80846E+14;FALS;0;0;0;0;322;low ;194;922;low ;0;6,082E+14;low ;0;6,60073E+14;1,22956E+14;1,81257E+14;5,81924E+14;6,98077E+14;P_score_soil_exp_UBA;6,60973E+14;P_score_freshwater_pred_Dashboard;8,54515E+14;6,83214E+14;M_score_exp_UBA;5,85786E+14;M_score_exp_UBA;5,85786E+14;5,33316E+13;kemi_score;42;7,07505E+14;10;6,22245E+14;10;6,0363E+14;10;6,98077E+14;5;7,04348E+14;75;6,4656E+14;75;6,336E+14;75;0;vPvM(T);PM(T);PM(T);3;Ar N, C O, C O Nocoo, Nh0, Alkyl Halide, Benzene, Ester, Ether, Halogen;['Aromatic amines', 'Chlorobenzenes', 'Ethylene Glycols', 'PBB', 'PBDE', 'PCB', 'PhenylEthers', 'Phtalates', 'Pyrethrins', 'Styrenes', 'Triazines', 'PFAS']
(2?,3?,5?,16?,17?)-17-Acetoxy-3-hydroxy-2-(4-morpholinyl)-16-(1-pyrrolidinyl)androstane;119302-24-8;601-596-0;YBZSVMDKHBRYNB-UHFFFAOYSA-N;CC(=O)OC1C(CC2C3CCC4CC(O)C(CC4(C)C3CCC12C)N1CCOCC1)N1CCCC1;DTXSID601035727;160649330;PRO-004;NS00001345;REACH-B;FALS;vPvM;HQ;vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC pred;488713;;404;;102;;0,000178;4309630167;;6,76179E+85;;245;6370;;;;-38;59833;;35;2;6;>1 to < 10 tonnes;10;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9,82683E+14;;10;;;;;1,67854E+14;FALS;0;0;0;0;2091;low ;0;30900;low ;645;1347;low ;0;5,55535E+14;2,95993E+14;8,94512E+14;1,06275E+14;5,85544E+14;;;P_score_freshwater_pred_Dashboard;10;9,91341E+14;;;M_score_pred_Dashboard;1,67854E+14;1,67854E+14;kemi_score;35;4,097E+13;10;;;4,07922E+14;10;5,85544E+14;5;4,61492E+14;75;5,85544E+14;25;4,60156E+14;75;10;PM;;PM;4;Al Oh, Al Oh Notert, C O, C O Nocoo, Nh0, Ndealkylation2, Bicyclic, Ester, Ether, Morpholine;['Alkylphenols', 'Cyclohexanes', 'Ethylene Glycols']
(5-hydroxy-1,3-dimethyl-1H-pyrazol-4-yl)[2-(methylsulfonyl)-4-(trifluoromethyl)phenyl]methanone;365400-11-9;609-256-3;DWSPRBSLSXQIEJ-UHFFFAOYSA-N;CC1=C(C(=O)N(N1)C)C(=O)C2=C(C=C(C=C2)C(F)(F)F)S(=O)(=O)C;DTXSID2044343;116937110;PRO-005;;REACH-A;FALS;vPvM;HQ;vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;FALS;FALS;FALS;FALS;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC;36434;;133;;90;;18;2810232518;;3,48133E+13;;174;3270;1200;5780;13;;466114172;;;13;25;>10 to < 100 tonnes;100;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,47781E+13;;2,8281E+14;3,33333E+14;8,80202E+13;6,18976E+14;;3,63175E+14;FALS;0;0;0;0;1,898E+14;low ;196;18500;low ;203;11600;low ;0;5,82126E+14;3,67147E+14;9,29365E+13;4,45974E+14;6,04741E+14;P_score_sediment_exp_UBA;8,80202E+13;P_score_freshwater_pred_UBA;9,47781E+13;6,11032E+14;M_score_exp_UBA;6,18976E+14;M_score_exp_UBA;6,18976E+14;4,91075E+13;E_score_max;25;7,65933E+14;10;7,38122E+14;10;5,4778E+14;10;6,04741E+14;5;7,07919E+14;75;6,90677E+14;75;5,66144E+13;75;0;vPvM(T);vPvM(T);PM(T);;Ar N, Ar Nh, C O, C O Nocoo, Nh0, Nh1, Nhpyrrole, Alkyl Halide, Aryl Methyl, Benzene, Halogen, Ketone, Sulfone;['Aromatic amines', 'Chlorobenzenes', 'Benzophenones', 'PAHs', 'PBB', 'PCB', 'PFAS']
[(2R)-2-(2,4-dichlorophenyl)-2-[(1H-1,2,4-triazol-1-yl)methyl]-1,3-dioxolan-4-yl]methyl methanesulfonate hydrochloride;155661-07-7;445-550-6;VOEZOGZQSVLIRN-HYHLQHTJNA-N;CS(=O)(=O)OCC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl.Cl;DTXSID801020958;1330824830;PRO-006;NS00078588;REACH-A;FALS;vPvM;HQ;PM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;CERT;FALS;FALS;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC;44471;;41;;108;;0,00813;1800029359;;4,10516E+14;;55;10280;;;25;;6413071061;;;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,92284E+14;;9,99272E+14;;;4,14214E+14;;5,34597E+14;FALS;0;0;0;0;1251;low ;196;4,886E+14;low ;277;7010;low ;234;3,08516E+14;6,36283E+14;1,09364E+14;5,49031E+14;3,57205E+13;;;P_score_freshwater_pred_Dashboard;9,99272E+14;9,95778E+13;M_score_exp_UBA;4,14214E+14;M_score_pred_Dashboard;5,34597E+14;4,74405E+14;E_score_min;0;7,30895E+14;10;4,14214E+14;5;6,87315E+14;10;3,57205E+13;5;5,75717E+14;75;3,84654E+14;5;5,52599E+14;75;0;vPvM;PM;PM;;Ar N, Nh0, Benzene, Ether, Halogen;['Aromatic amines', 'Chlorobenzenes', 'Ethylene Glycols', 'PBB', 'PBDE', 'PCB', 'PhenylEthers']
[(3aS,4S,6S)-6-methoxy-2,2-dimethyl-tetrahydro-2H-furo[3,4-d][1,3]dioxol-4-yl]methyl 4-methylbenzene-1-sulfonate;4137-56-8;609-920-2;IAPMZKRZMYQZSW-UHFFFAOYSA-N;CC1(C)OC2[C@@H](O1)[C@@H](O[C@@H]2OC)COS(=O)(=O)c1ccc(C)cc1;DTXSID50284838;2366230;PRO-007;NS00003867;REACH-B;FALS;vPvM;HQ;vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;CERT;FALS;CERT;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;P-PNEC pred;35841;;238;;94;;98;1889861721;;1,0777E+12;;155;14880;;;;14;1047795;;27;0;0;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9,95885E+14;;7,31291E+14;;;;;5,19076E+14;FALS;0;0;0;0;3334;low ;202;15100;low ;245;25900;low ;245;2,64974E+14;3,99646E+14;7,42638E+14;3,18824E+14;2,98552E+14;;;P_score_freshwater_pred_UBA;9,95885E+14;8,63588E+14;;;M_score_pred_Dashboard;5,19076E+14;5,19076E+14;kemi_score;27;7,18986E+13;10;;;6,69528E+14;10;2,98552E+14;5;5,36398E+14;75;2,98552E+14;25;5,11508E+14;75;0;vPvM;;PM;4;Aryl Methyl, Benzene, Bicyclic, Ether, Methoxy;['Cyclohexanes', 'Ethylene Glycols', 'PAHs', 'PBDE', 'PhenylEthers']
[(3S,4R,4aR,6S,6aS,12R,12aS,12bS)-3-(cyclopropanecarbonyloxy)-6,12-dihydroxy-4,6a,12btrimethyl-11-oxo-9-(pyridin-3-yl)-1,2,3,4,4a,5,6,6a,12a,12b-decahydro-11H,12Hbenzo[f]pyrano[4,3-b]chromen-4-yl]methylcyclopropanecarboxylate;915972-17-7;815-966-6;;CC12CCC(C(C1CC(C3(C2C(C4=C(O3)C=C(OC4=O)C5=CN=CC=C5)O)C)O)(C)COC(=O)C6CC6)OC(=O)C7CC7;DTXSID00896889;545894300;PRO-008;;REACH-A;FALS;vPvM;HQ;PM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;;593673;;249;;973;;0,00662;492992956;;1,88618E+78;;501;110;660;3710;27;;;;;0;8;>0 to < 10 tonnes;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5,21487E+14;;10;1,52496E+14;7,74936E+14;3,81024E+13;;1,15999E+12;FALS;0;0;0;0;3434;low ;0;46400;low ;0;6388;low ;0;;2,4928E+14;7,33862E+14;5,7035E+14;0;P_score_sediment_exp_UBA;7,74936E+14;P_score_freshwater_pred_Dashboard;10;4,94895E+14;M_score_exp_UBA;3,81024E+13;M_score_exp_UBA;3,81024E+13;2,48512E+13;E_score_max;8;6,17272E+14;10;5,43387E+13;10;3,50695E+14;10;0;5;0;75;0;75;0;75;10;PM;PM;PM;;Al Oh, Al Oh Notert, Ar N, C O, C O Nocoo, Nh0, Bicyclic, Ester, Ether, Pyridine;['Alkylphenols', 'Aromatic amines', 'Cyclohexanes', 'Ethylene Glycols', 'Pyridin']
[[(phosphonomethyl)imino]bis[ethane-2,1-diylnitrilobis(methylene)]]tetrakisphosphonic acid;15827-60-8;239-931-4;DUYCTCQXNHFCSJ-UHFFFAOYSA-N;C(CN(CP(=O)(O)O)CP(=O)(O)O)N(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O;DTXSID0027775;851280;PRO-009;NS00004368;REACH-A;CERT;vPvM;HQ;vPvM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;CERT;CERT;chelating;"Anti-scaling agent; Cleaning agent; Corrosion inhibitor; Corrosion inhibitors and anti-scaling agents; Intermediate; Processing aids, specific to petroleum production";"Corrosion inhibitors and anti-scaling agents; Other (specify)";CERT;CERT;CERT;CERT;CERT;CERT;CERT;FALS;FALS;CERT;CERT;CERT;CERT;CERT;CERT;CERT;FALS;CERT;FALS;FALS;FALS;FALS;CERT;FALS;FALS;P-PNEC pred;573198;;-695;;96;;106;1770115295;;5,8557E+14;;309;46850;;;;-163;25976;;73;26;39;>100 to < 1000 tonnes;1000;10000;1;0;0;1;0;1;1;1;1;1;0;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;0;1;1;0;1;1;1;0;1;0;9,99419E+14;;4,89597E+14;;;;;5,39752E+14;FALS;0;0;0;0;3353;low ;0;14200;low ;0;17200;low ;0;6,42315E+14;4,10012E+14;7,40943E+14;3,78504E+14;6,42315E+14;;;P_score_freshwater_pred_UBA;9,99419E+14;7,44508E+14;;;M_score_pred_Dashboard;5,39752E+14;5,39752E+14;kemi_score;73;7,34465E+14;10;;;6,33916E+14;10;6,42315E+14;5;7,02366E+14;75;6,42315E+14;25;6,36704E+14;75;20;vPvM(T);(T);PM(T);1;Nh0;['Organophosphates']
[2,2-dimethyl-3-(morpholin-4-yl)propylidene][6-({2-methyl-2-[(morpholin-4-yl)methyl]propylidene}amino)hexyl]amine;1217271-49-2;700-570-7;BVUYTWFHWBDUQZ-UHFFFAOYSA-N;CC(C)(CN1CCOCC1)C=NCCCCCCN=CC(C)(C)CN1CCOCC1;DTXSID801045043;899992560;PRO-010;NS00010203;REACH-B;FALS;vPvM;HQ;PM;FALS;FALS;;;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;FALS;CERT;CERT;CERT;;;;CERT;CERT;CERT;CERT;CERT;CERT;CERT;FALS;FALS;FALS;CERT;CERT;FALS;FALS;CERT;FALS;FALS;CERT;FALS;FALS;FALS;FALS;CERT;FALS;FALS;P-PNEC;422658;;46;;115;;191;2749736316;;4,10516E+14;;427;23790;;;;-3;226344292;;32;1;1;Tonnage data confidential;;;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9,98151E+14;;9,99272E+14;;;;;3,72928E+14;FALS;0;0;0;0;1773;low ;268;95600;low ;242;5227;low ;0;6,55935E+14;1,83346E+14;9,54609E+14;6,19049E+14;6,55935E+14;;;P_score_freshwater_pred_Dashboard;9,99272E+14;9,98711E+14;;;M_score_pred_Dashboard;3,72928E+14;3,72928E+14;kemi_score;32;6,10456E+13;10;;;6,10284E+14;10;6,55935E+14;5;6,25254E+14;75;6,55935E+14;25;6,25137E+14;75;10;PM(T);(T);PM(T);4;Imine, Nh0, Ether, Morpholine, Unbrch Alkane;['Ethylene Glycols']
